,id,text,created_at,user,username,user_id,user_location,user_followers,user_following,user_verified,user_tweets_count,user_created_at
214,1540567763705528321,@Emillgrisolia Yeah I stayed up for something else but also didn’t sleep and watch Bitcoin on phone. It’s basically… https://t.co/Pg8aDxxCwB,Sat Jun 25 05:29:11 +0000 2022,MURO,MuroCrypto,230206137,Not financial advice,225866,554,False,17592,Fri Dec 24 16:05:30 +0000 2010
215,1540567761306279936,RT @BitcoinMagazine: #Bitcoin is freedom money https://t.co/pYadZdCKPi,Sat Jun 25 05:29:11 +0000 2022,V.ΞTH,vichenhao,902450228317396992,,192,453,False,1228,Tue Aug 29 08:37:55 +0000 2017
216,1540567758005342208,"RT @SlingShotOn: When #Bitcoin reaches $40,000 again ( I know we are in a bear market right now)  I will buy a full computer gaming/crypto…",Sat Jun 25 05:29:10 +0000 2022,good day || free tag ୧⍤⃝🌠,glorygoldencity,1512677662308724739,search happiness,92,1244,False,4724,Sat Apr 09 06:24:03 +0000 2022
217,1540567753681010688,RT @skwp: . @GoldmanSachs should buy $2B of bitcoin instead of a failed crypto lender. This is financial advice. I am available for CFO and…,Sat Jun 25 05:29:09 +0000 2022,Mike,ApeDegenCrypt,1516940148528730114,,292,1027,False,18301,Thu Apr 21 00:41:38 +0000 2022
218,1540567730503294976,RT @DaikiFintech: DFTC is all about Fintech and one must grab the opportunity to understand its importance to their benefits! ⚡ ___ Know mo…,Sat Jun 25 05:29:03 +0000 2022,kishor Singh shekhawat,kishorsingh44,1151059436498087936,"Jaipur, India",178,62,False,961,Tue Jul 16 09:22:10 +0000 2019
219,1540567728364322816,RT @stackhodler: Putin just gave a speech with massive implications for #Bitcoin and global macro.  We won't read a word of it in Western m…,Sat Jun 25 05:29:03 +0000 2022,DeFi-ant,MwitiGitosh,792353756,"Nairobi, Kenya",420,891,False,5893,Thu Aug 30 20:38:35 +0000 2012
220,1540567727001292801,RT @FlylightsTech: 🔥NOW ON PRESALE🔥  #presale stage 3 is running out fast. 91% complete. Don't miss the opportunity to buy early.  🔴 Stage…,Sat Jun 25 05:29:03 +0000 2022,Muricendis,muricendis,1053317893490987008,"Lagos, Nigeria",122,544,False,794,Fri Oct 19 16:12:10 +0000 2018
221,1540567725663207424,RT @Giveawayquinn: $60 | 360 mins  ⏰  RT • LIKE • FOLLOW  @Nftdunyas1 @Giveawayquinn  #Bitcoin #NFTGiveaway #NFTCommunity #NFTshill,Sat Jun 25 05:29:02 +0000 2022,NFT- Koala,NFTK0ala,1539955298504433665,,220,16,False,9,Thu Jun 23 12:55:33 +0000 2022
222,1540567722626793472,RT @pete_rizzo_: ✨ El Salvador President announcing national #Bitcoin giveaway exactly 1 year ago.   The largest-ever distribution of free…,Sat Jun 25 05:29:02 +0000 2022,Crypto Relevant,crypto_relevant,1341432875208429568,Global,385,568,False,2886,Tue Dec 22 17:18:26 +0000 2020
223,1540567721766801408,"@saylor If someone absolutely new come in  to crypto and wanna invest,it will be never bitcoin....i pleased someone… https://t.co/24AQzHNfZz",Sat Jun 25 05:29:01 +0000 2022,Saitama Sakatoshi,saitatoshi,1525065849605967878,#Naturwissenschaft #Familie ,209,191,False,172,Fri May 13 10:50:40 +0000 2022
